Department,PI_Name,Total_GPU_Hours_FY2026,Total_CPU_Hours_FY2026,Storage_Used_TB,Peak_Concurrent_GPUs,Avg_Queue_Wait_Min,Avg_Job_Duration_Hr,Total_Jobs,Job_Success_PCT,Satisfaction,Budget_Contribution,_Sheet,Month,Month_Num,GPU_Hours,CPU_Hours,Jobs,Avg_Wait_Min,Peak_GPUs,Storage_Delta_TB,Avg_GPU_Util_PCT,Avg_Mem_Util_PCT,Preempted_Jobs,Failed_Jobs,Energy_kWh,Min_GPUs_Per_Node,Min_GPU_Memory_GB,Min_Network_Gbps,Min_Storage_GBps,Special_Requirements,Preferred_Priority,Files_M,New_Data_TB,Deleted_TB,Avg_File_KB,Software,Avg_Monthly_Sessions,Peak_Concurrent,Avg_Session_Hours,GPU_Hours_Monthly,CPU_Hours_Monthly,Avg_Wait_GPU_Min,Avg_Wait_CPU_Min,P95_Wait_GPU_Min,P99_Wait_GPU_Min,Jobs_Timed_Out,Jobs_Preempted,Category,Avg_Runtime_Hr,Avg_GPU_Util,Avg_Mem_GB,Avg_IB_GBps,Avg_Energy_kWh,Response_ID,Role,Top_Issue,Comment,Date,User_ID,Jobs_Submitted,Jobs_Completed,Jobs_Failed,Max_Wait_Min,GPU_Util_Avg_PCT,Mem_Used_Avg_GB,Storage_Read_GB,Storage_Write_GB,IO_Wait_PCT,Network_GB,Overall_Score,Queue_Wait_Score,Storage_Score,Support_Score,GPU_Avail_Score,Comments,Sessions,Peak_Memory_GB
Physics,Dr. Elena Vasquez,312500.0,543410.0,85.0,64.0,52.0,18.5,187421.0,94.2,3.8,125000.0,Usage Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,Monthly GPU Hours,May,5.0,16780.0,28198.0,1511.0,51.0,20.0,0.7,94.6,61.3,6.0,18.0,92295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,Monthly GPU Hours,May,5.0,4613.0,7899.0,236.0,50.0,44.0,-1.4,52.8,63.3,21.0,11.0,25377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Sciences,,,,,,,,,,,,Infrastructure Requirements,,,,,,,,,,,,,,8.0,40.0,200.0,60.0,WRF needs parallel I/O; MPI collective optimization critical,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,,,,51.8,,,,,,,,Storage Growth,Sep,,,,,,,,,,,,,,,,,,,34.2,2.0,2.3,38517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,14.2,,,,,,,,Storage Growth,Sep,,,,,,,,,,,,,,,,,,,15.1,2.4,2.7,4701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,MATLAB,162.0,2.0,22.5,2991.0,6943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,ANSYS,43.0,9.0,18.1,4839.0,6590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,Gaussian,93.0,32.0,6.9,3293.0,7101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,Software Usage,,,,,,,,,,,,,,,,,,,,,,,,GROMACS,94.0,10.0,19.5,166.0,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
