Date,Department,Partition,Jobs_Submitted,Jobs_Completed,Jobs_Failed,GPU_Hours,CPU_Hours,Memory_GB_Hours,Storage_Read_GB,Storage_Write_GB,Avg_Wait_Min,Max_Wait_Min,Avg_GPU_Util_PCT,Energy_kWh
2025-01-01,Physics,gpu,32,29,1,401,598,138686,4365,355,95,157,30.7,2205.5
2025-01-02,Physics,priority,38,35,2,84,11,12115,2225,739,21,421,54.9,462.0
2025-01-04,Physics,interactive,3,2,0,45,590,13092,1750,702,99,416,45.5,247.5
2025-01-06,Physics,interactive,41,39,2,370,664,51715,1980,1866,20,419,54.6,2035.0
2025-01-08,Physics,debug,22,21,0,43,709,18987,3523,2047,115,176,94.0,236.5
2025-01-10,Physics,debug,41,36,1,263,322,103147,3363,549,101,42,53.2,1446.5
2025-01-12,Physics,cpu,46,44,1,200,579,96148,4118,2268,32,475,62.1,1100.0
2025-01-14,Physics,cpu,29,26,0,98,441,17911,3245,1115,28,361,64.4,539.0
2025-01-16,Physics,gpu,48,46,3,439,817,76925,1255,1124,59,68,56.8,2414.5
2025-01-18,Physics,gpu,14,12,0,359,554,131798,1892,265,104,261,57.3,1974.5
2025-01-19,Physics,priority,20,17,0,252,206,82786,4502,2202,1,229,39.5,1386.0
2025-01-21,Physics,priority,10,9,0,212,433,45058,167,1756,115,220,66.7,1166.0
2025-01-23,Physics,interactive,19,16,1,292,121,71257,4288,116,34,450,32.4,1606.0
2025-01-25,Physics,interactive,29,27,0,105,836,45797,1141,1335,43,295,38.8,577.5
2025-01-27,Physics,debug,10,9,0,408,32,79184,532,559,106,298,41.7,2244.0
2025-01-28,Physics,debug,13,11,0,10,477,2650,1175,1945,8,24,35.3,55.0
2025-02-01,Physics,cpu,14,13,0,332,602,65219,218,776,4,371,41.8,1826.0
2025-02-03,Physics,cpu,45,41,3,321,272,170862,550,1298,61,65,46.0,1765.5
2025-02-05,Physics,gpu,39,36,1,408,573,198808,1149,1517,34,466,68.9,2244.0
2025-02-07,Physics,gpu,28,27,0,478,526,118133,1617,2356,73,318,67.1,2629.0
2025-02-08,Physics,priority,26,24,0,361,113,210017,1472,898,68,434,50.1,1985.5
2025-02-10,Physics,interactive,10,8,0,335,389,99155,1232,1130,33,315,37.0,1842.5
2025-02-12,Physics,interactive,46,42,0,391,94,190080,330,1995,73,182,36.9,2150.5
2025-02-14,Physics,debug,36,34,2,437,340,199558,1665,1668,45,220,44.9,2403.5
2025-02-16,Physics,debug,34,33,2,344,634,92875,3437,2444,72,85,43.7,1892.0
2025-02-18,Physics,cpu,48,45,3,400,925,178709,361,2181,97,378,71.8,2200.0
2025-02-20,Physics,cpu,19,16,0,83,760,31372,1433,1290,43,264,55.0,456.5
2025-02-22,Physics,gpu,24,21,0,480,731,103881,3649,2287,73,430,76.6,2640.0
2025-02-24,Physics,gpu,2,1,0,56,815,20890,3391,1729,87,228,77.4,308.0
2025-02-25,Physics,priority,2,1,0,95,568,51561,2169,2231,119,128,63.6,522.5
2025-02-27,Physics,priority,25,23,1,356,942,194814,1820,913,20,182,63.5,1958.0
2025-02-28,Physics,interactive,25,23,0,353,526,69610,4417,395,65,332,50.1,1941.5
2025-03-01,Physics,interactive,46,43,1,413,332,44543,2585,1863,115,343,69.6,2271.5
2025-03-03,Physics,debug,28,23,2,329,848,175904,3213,74,21,47,67.9,1809.5
2025-03-05,Physics,debug,6,5,0,80,928,14747,735,2457,21,30,54.6,440.0
2025-03-07,Physics,cpu,4,3,0,105,773,18050,444,1814,82,233,66.7,577.5
2025-03-09,Physics,cpu,11,10,0,140,943,19272,3330,805,49,369,31.3,770.0
2025-03-11,Physics,gpu,44,40,0,416,609,114171,1866,1197,52,175,49.0,2288.0
2025-03-13,Physics,gpu,2,1,0,302,270,81001,340,1329,50,204,81.6,1661.0
2025-03-14,Physics,priority,36,31,2,455,755,86933,1598,804,36,166,35.7,2502.5
