Date,Node_ID,Row,Primary_Department,Avg_GPU_Utilization_PCT,Avg_Memory_Utilization_PCT,Avg_SM_Clock_MHz,Avg_Power_W,Max_Temperature_C,ECC_Correctable_Errors,ECC_Uncorrectable_Errors,XID_Errors,Jobs_Run,Total_GPU_Hours,PCIe_Replay_Count,NVLink_Errors,Fan_Speed_PCT
2025-07-01,hpc-gpu-001,A,Physics,99.8,85.5,1410,398.0,81.6,0,0,0,10,191.7,2,1,105.0
2025-07-01,hpc-gpu-049,C,Physics,98.1,61.3,1147,389.0,96.9,0,0,0,6,188.4,3,1,123.0
2025-07-01,hpc-gpu-050,C,Biology,74.6,62.9,1410,388.0,85.7,0,0,0,8,143.2,3,1,102.0
2025-07-01,hpc-gpu-051,C,Chemistry,89.1,71.4,1312,361.0,86.0,0,0,0,4,171.1,3,0,104.0
2025-07-01,hpc-gpu-052,C,Computer Science,62.1,52.0,1410,349.0,77.7,0,0,0,3,119.1,0,1,92.0
2025-07-01,hpc-gpu-055,C,Engineering,80.6,63.9,1410,380.0,85.6,0,0,0,11,154.8,0,1,107.0
2025-07-01,hpc-gpu-056,C,Medical Research,88.6,79.1,1158,385.0,89.6,0,0,0,10,170.1,1,1,113.0
2025-07-01,hpc-gpu-057,C,Physics,100.0,93.2,1194,393.0,88.5,0,0,0,11,192.0,2,1,112.0
2025-07-01,hpc-gpu-058,C,Biology,91.0,83.4,1372,367.0,89.7,0,0,0,3,174.7,3,1,109.0
2025-07-01,hpc-gpu-059,C,Chemistry,78.3,67.4,1410,366.0,84.9,0,0,0,7,150.3,0,1,103.0
2025-07-01,hpc-gpu-060,C,Computer Science,72.5,54.6,1410,344.0,81.1,0,0,0,11,139.3,4,1,97.0
2025-07-01,hpc-gpu-061,C,Earth Sciences,61.7,48.4,1410,363.0,77.6,0,0,0,5,118.6,2,1,96.0
2025-07-01,hpc-gpu-064,C,Medical Research,92.7,86.4,1155,404.0,91.1,0,0,0,10,177.9,4,0,110.0
2025-07-01,hpc-gpu-065,C,Physics,95.3,84.2,1187,391.0,93.2,0,0,0,0,182.9,1,0,114.0
2025-07-01,hpc-gpu-066,C,Biology,93.9,70.0,1405,399.0,97.2,0,0,0,6,180.3,4,0,124.0
2025-07-01,hpc-gpu-067,C,Chemistry,73.2,47.2,1410,349.0,78.8,0,0,0,1,140.5,3,0,97.0
2025-07-01,hpc-gpu-068,C,Computer Science,75.9,48.6,1410,380.0,88.7,0,0,0,11,145.8,0,1,111.0
2025-07-01,hpc-gpu-069,C,Earth Sciences,61.3,47.1,1410,381.0,79.2,0,0,0,6,117.6,3,1,97.0
2025-07-01,hpc-gpu-071,C,Engineering,93.1,65.6,1305,392.0,85.9,0,0,0,10,178.8,2,1,105.0
2025-07-01,hpc-gpu-072,C,Medical Research,89.3,64.3,1300,373.0,89.6,0,0,0,2,171.5,2,0,111.0
2025-07-02,hpc-gpu-049,C,Physics,89.6,56.4,1256,380.0,87.4,0,0,0,7,172.0,4,0,109.0
2025-07-02,hpc-gpu-050,C,Biology,83.1,53.6,1410,401.0,85.2,0,0,0,4,159.6,4,1,104.0
2025-07-02,hpc-gpu-051,C,Chemistry,77.1,48.1,1410,383.0,82.7,0,0,0,0,148.0,1,1,103.0
2025-07-02,hpc-gpu-055,C,Engineering,71.4,50.9,1410,363.0,80.7,0,0,0,7,137.1,3,1,99.0
2025-07-02,hpc-gpu-056,C,Medical Research,96.7,87.2,1203,378.0,91.3,0,0,0,7,185.6,2,1,114.0
2025-07-02,hpc-gpu-057,C,Physics,92.9,81.7,1230,393.0,87.8,0,0,0,11,178.4,3,1,108.0
2025-07-02,hpc-gpu-058,C,Biology,71.7,57.0,1410,363.0,80.8,0,0,0,1,137.7,2,1,96.0
2025-07-02,hpc-gpu-059,C,Chemistry,73.5,46.0,1410,373.0,79.2,0,0,0,8,141.1,0,1,97.0
2025-07-02,hpc-gpu-060,C,Computer Science,52.4,45.8,1410,352.0,67.1,0,0,0,8,100.7,3,1,77.0
2025-07-02,hpc-gpu-061,C,Earth Sciences,67.4,62.7,1410,358.0,80.7,0,0,0,3,129.5,1,1,97.0
