Record_Type,Category,Subcategory,Fiscal_Year,Month,Month_Num,Budgeted_Amount,Actual_Amount,Variance,Variance_PCT,Accrued,Committed,Encumbered,GL_Account,Cost_Center,Fund_Code,PO_Number,Invoice_Number,Approval_Status,Notes
Budget,Hardware Capital,Compute Nodes,FY2024,Jan,1,528000.0,560746.71,32746.71,6.2,83443.51,574106.09,4408.36,67365,CC-WHPC-152,F-4457,PO-2024-8971,Pending,In Review,
Budget,Hardware Capital,Compute Nodes,FY2024,Oct,10,528000.0,453021.04,-74978.96,-14.2,73112.16,424276.16,93656.04,64856,CC-WHPC-118,F-8899,PO-2024-7333,Pending,Approved,
Budget,Hardware Capital,Storage System,FY2024,Jul,7,85211.0,91316.52,6105.52,7.2,10579.96,84750.21,10018.02,60492,CC-WHPC-177,F-3138,PO-2024-5542,INV-239337,Approved,
Budget,Hardware Capital,Network Infrastructure,FY2024,May,5,16800.0,16638.1,-161.9,-1.0,2898.31,16822.09,1089.86,68702,CC-WHPC-126,F-1280,PO-2024-6051,INV-306266,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2024,Feb,2,9200.0,7567.63,-1632.37,-17.7,918.21,7673.88,292.68,68357,CC-WHPC-156,F-1677,PO-2024-7553,INV-791582,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2024,Dec,12,9200.0,10016.35,816.35,8.9,1565.25,9243.34,2113.21,62107,CC-WHPC-182,F-6085,PO-2024-2839,INV-202172,Approved,
Budget,Hardware Capital,Cooling Systems,FY2024,Sep,9,15600.0,14134.12,-1465.88,-9.4,2661.79,13093.35,1959.02,66573,CC-WHPC-191,F-5257,PO-2024-5480,INV-443100,Approved,
Budget,Hardware Capital,Cabling,FY2024,Jul,7,6400.0,6814.97,414.97,6.5,859.93,7119.89,1392.1,67863,CC-WHPC-193,F-4623,PO-2024-9427,Pending,Approved,
Budget,Hardware Capital,Installation,FY2024,Apr,4,12250.0,12802.6,552.6,4.5,2411.36,13176.82,889.54,66947,CC-WHPC-170,F-4602,PO-2024-1555,Pending,Approved,
Budget,Software Licensing,MATLAB,FY2024,Feb,2,6125.0,6427.02,302.02,4.9,985.5,6251.41,1587.41,67817,CC-WHPC-155,F-2931,PO-2024-2303,INV-340165,Approved,
Budget,Software Licensing,MATLAB,FY2024,Nov,11,6125.0,6109.77,-15.23,-0.2,781.07,5926.37,1219.51,66371,CC-WHPC-189,F-6428,PO-2024-3148,INV-763975,Approved,
Budget,Software Licensing,ANSYS Suite,FY2024,Sep,9,7600.0,6856.28,-743.72,-9.8,1119.07,6698.57,600.87,66820,CC-WHPC-109,F-4565,PO-2024-6426,Pending,Approved,
Budget,Software Licensing,Gaussian,FY2024,Jun,6,2200.0,1939.86,-260.14,-11.8,330.09,1896.07,232.91,68429,CC-WHPC-155,F-6770,PO-2024-2553,INV-393150,Approved,
Budget,Software Licensing,Abaqus,FY2024,Apr,4,4600.0,4596.64,-3.36,-0.1,539.45,4658.34,1052.56,64450,CC-WHPC-192,F-5010,PO-2024-6096,Pending,Approved,
Budget,Software Licensing,COMSOL,FY2024,Jan,1,3400.0,3573.9,173.9,5.1,450.93,3486.58,135.95,61768,CC-WHPC-175,F-2398,PO-2024-8391,INV-220660,Approved,
Budget,Software Licensing,COMSOL,FY2024,Nov,11,3400.0,3787.0,387.0,11.4,435.14,3773.87,560.3,63974,CC-WHPC-160,F-3358,PO-2024-2538,INV-602270,Approved,
Budget,Software Licensing,Mathematica,FY2024,Aug,8,2000.0,2301.53,301.53,15.1,441.37,2284.03,416.69,61296,CC-WHPC-182,F-3487,PO-2024-6284,INV-191793,Pending,
Budget,Software Licensing,Schrodinger,FY2024,Jun,6,6250.0,6798.93,548.93,8.8,1195.92,6265.18,737.9,61558,CC-WHPC-112,F-7553,PO-2024-2631,Pending,Pending,
Budget,Software Licensing,ARM Forge,FY2024,Mar,3,4500.0,4980.52,480.52,10.7,780.56,4528.57,376.83,63659,CC-WHPC-123,F-9582,PO-2024-7044,Pending,Pending,
Budget,Software Licensing,TotalView,FY2024,Jan,1,3100.0,3134.86,34.86,1.1,497.54,2980.84,613.74,62161,CC-WHPC-116,F-9395,PO-2024-5291,INV-797035,In Review,
Budget,Software Licensing,TotalView,FY2024,Oct,10,3100.0,3152.48,52.48,1.7,611.78,2842.72,360.58,60980,CC-WHPC-194,F-5873,PO-2024-8988,Pending,Approved,
Budget,Software Licensing,Other Software,FY2024,Aug,8,5400.0,6082.73,682.73,12.6,1160.27,6043.85,738.75,68746,CC-WHPC-100,F-7650,PO-2024-6524,INV-673516,Approved,
Budget,Staffing,Existing FTE,FY2024,May,5,82420.0,70923.74,-11496.26,-13.9,9390.07,65990.01,10112.56,61300,CC-WHPC-144,F-2367,,INV-434585,In Review,
Budget,Staffing,Migration Staff,FY2024,Feb,2,12350.0,12894.61,544.61,4.4,1874.4,12105.99,2566.52,65600,CC-WHPC-104,F-4377,,INV-706344,Approved,
Budget,Staffing,Migration Staff,FY2024,Dec,12,12350.0,13670.4,1320.4,10.7,1774.31,13330.56,553.15,66855,CC-WHPC-100,F-8035,,INV-319874,Approved,
Budget,Staffing,Training,FY2024,Sep,9,2400.0,2720.39,320.39,13.3,395.6,2615.32,5.18,65117,CC-WHPC-134,F-7495,,INV-554419,Approved,
Budget,Facilities,Electricity,FY2024,Jul,7,24250.0,27451.11,3201.11,13.2,4147.02,27145.15,1851.1,60239,CC-WHPC-153,F-9364,,INV-612696,Approved,
Budget,Facilities,Cooling Water,FY2024,Apr,4,3900.0,4041.25,141.25,3.6,701.94,3990.56,154.91,65379,CC-WHPC-156,F-4236,,INV-121450,Approved,
Budget,Facilities,Building Maintenance,FY2024,Feb,2,4750.0,5496.76,746.76,15.7,706.36,5438.51,1292.28,60049,CC-WHPC-135,F-9804,,INV-837753,Approved,
Budget,Facilities,Building Maintenance,FY2024,Nov,11,4750.0,4386.49,-363.51,-7.7,503.65,3977.3,311.47,69004,CC-WHPC-126,F-4801,,Pending,In Review,
Budget,Facilities,Electrical Upgrades,FY2024,Sep,9,17500.0,20510.68,3010.68,17.2,3987.13,20422.5,3703.89,64095,CC-WHPC-190,F-1425,,INV-327334,Approved,
Budget,Facilities,Cooling Upgrades,FY2024,Jun,6,14000.0,16002.51,2002.51,14.3,2245.5,15639.08,3710.15,65877,CC-WHPC-138,F-7458,,INV-315204,Approved,
Budget,Maintenance,HW Support Agreement,FY2024,Apr,4,16000.0,17539.48,1539.48,9.6,3270.53,16002.81,487.55,67575,CC-WHPC-160,F-2841,,Pending,Approved,
Budget,Maintenance,Contingency 15%,FY2024,Jan,1,12750.0,13630.58,880.58,6.9,2269.8,12828.09,2224.21,69400,CC-WHPC-169,F-2015,,INV-625375,Pending,
Budget,Maintenance,Contingency 15%,FY2024,Nov,11,12750.0,13100.69,350.69,2.8,1912.29,11958.97,1306.44,61661,CC-WHPC-122,F-6199,,Pending,Approved,
Budget,Hardware Capital,Compute Nodes,FY2025,Aug,8,704000.0,598184.15,-105815.85,-15.0,86545.41,597069.83,99489.75,63262,CC-WHPC-188,F-1703,PO-2025-2986,INV-186430,Approved,
Budget,Hardware Capital,Storage System,FY2025,Jun,6,113614.67,106018.45,-7596.21,-6.7,11761.54,96503.14,11321.94,65709,CC-WHPC-127,F-4453,PO-2025-2552,INV-623471,Pending,
Budget,Hardware Capital,Network Infrastructure,FY2025,Mar,3,22400.0,19506.46,-2893.54,-12.9,2265.34,18119.71,3049.0,68326,CC-WHPC-108,F-4666,PO-2025-5050,Pending,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2025,Jan,1,12266.67,11857.38,-409.28,-3.3,1392.29,10805.68,2036.51,61451,CC-WHPC-171,F-2122,PO-2025-2142,INV-218348,Approved,
Budget,Hardware Capital,Rack Infrastructure,FY2025,Oct,10,12266.67,12928.04,661.37,5.4,2458.2,12452.68,1344.66,60332,CC-WHPC-176,F-7308,PO-2025-3814,INV-434277,Approved,
Budget,Hardware Capital,Cooling Systems,FY2025,Aug,8,20800.0,23253.77,2453.77,11.8,2788.52,23799.56,2604.35,69839,CC-WHPC-194,F-7335,PO-2025-4344,INV-833709,Approved,
Budget,Hardware Capital,Cabling,FY2025,May,5,8533.33,7371.98,-1161.36,-13.6,950.04,7127.43,1333.41,68287,CC-WHPC-189,F-2145,PO-2025-7700,INV-414719,Approved,
Budget,Hardware Capital,Installation,FY2025,Mar,3,16333.33,14180.95,-2152.38,-13.2,1814.03,12958.86,3240.17,63933,CC-WHPC-121,F-7592,PO-2025-8768,INV-290741,Approved,
Budget,Hardware Capital,Installation,FY2025,Dec,12,16333.33,17913.96,1580.63,9.7,1954.91,16371.7,3140.72,63781,CC-WHPC-122,F-6102,PO-2025-7421,Pending,Approved,
Budget,Software Licensing,MATLAB,FY2025,Sep,9,8166.67,8618.32,451.65,5.5,899.77,8149.82,2087.29,68066,CC-WHPC-184,F-6984,PO-2025-6383,INV-414039,Approved,
Budget,Software Licensing,ANSYS Suite,FY2025,Jul,7,10133.33,10131.01,-2.33,-0.0,1954.75,9617.95,2461.07,64926,CC-WHPC-110,F-3102,PO-2025-3525,INV-246569,Approved,
Budget,Software Licensing,Gaussian,FY2025,Apr,4,2933.33,3123.35,190.02,6.5,495.38,2907.82,508.47,67933,CC-WHPC-162,F-7434,PO-2025-6283,INV-130151,Approved,
Budget,Software Licensing,Abaqus,FY2025,Feb,2,6133.33,5248.78,-884.56,-14.4,1001.45,5203.73,707.86,69589,CC-WHPC-163,F-2755,PO-2025-9190,INV-729631,Approved,
Budget,Software Licensing,Abaqus,FY2025,Nov,11,6133.33,6369.17,235.84,3.8,991.65,6627.94,799.79,60742,CC-WHPC-124,F-4760,PO-2025-5943,INV-539983,Pending,
Budget,Software Licensing,COMSOL,FY2025,Sep,9,4533.33,5278.75,745.42,16.4,552.68,5382.99,913.3,67087,CC-WHPC-101,F-9328,PO-2025-7682,INV-897210,Approved,
Budget,Software Licensing,Mathematica,FY2025,Jun,6,2666.67,2948.21,281.54,10.6,523.62,2985.75,22.31,61373,CC-WHPC-146,F-6905,PO-2025-3042,Pending,Approved,
Budget,Software Licensing,Schrodinger,FY2025,Apr,4,8333.33,7093.22,-1240.12,-14.9,1094.46,6491.05,1231.85,62735,CC-WHPC-169,F-2228,PO-2025-2040,Pending,Approved,
Budget,Software Licensing,ARM Forge,FY2025,Jan,1,6000.0,6756.7,756.7,12.6,1235.84,6490.94,3.76,61303,CC-WHPC-120,F-2245,PO-2025-3113,INV-433038,Approved,
Budget,Software Licensing,ARM Forge,FY2025,Nov,11,6000.0,6097.14,97.14,1.6,717.06,5855.03,1350.48,69277,CC-WHPC-140,F-7259,PO-2025-4118,INV-633720,Pending,
