Node_ID,Hostname,Rack_Location,Manufacturer,Model,CPU_Model,CPU_Count,CPU_Cores_Total,RAM_GB,GPU_Model,GPU_Count,GPU_Memory_Total_GB,Local_Storage,Local_Storage_TB,Network_HCA,BMC_IP,OS_Version,Kernel,Date_Commissioned,Warranty_Expiry,Status,Firmware_BIOS,Power_Supply_W,Serial_Number,Asset_Tag,Purchase_Order,Measured_Idle_W,Measured_Peak_W,_Sheet,Log_ID,Date,Category,Component,Description,Parts_Used,Part_Serial,Cost_Parts,Cost_Labor,Total_Cost,Downtime_Hours,Technician,Work_Order,GPU_Slot,GPU_Serial,GPU_Memory_GB,Manufacturing_Date,Firmware,ECC_Correctable,ECC_Uncorrectable,Temp_Max_C,Power_Max_W,GPU_Hours,SM_Util_Avg,Mem_Util_Avg,PCIe_Replay,XID_Errors_30d,NVLink_Errors,Port,Switch,Switch_Port,Speed,Cable,Length,Serial,Signal_dB,Error_Rate,Current,Latest,Update,Last_Updated,CVE,Month,Avg_Power_W,Peak_Power_W,Idle_Power_W,Utilization_PCT,kWh_Total,Depreciation_Years,Annual_Depreciation
hpc-gpu-001,gpu001.whpc.westfield.edu,RowA-Rack01-U01,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.10,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2020-05-02,2023-05-02,Active,2.11.0,2000.0,SN-XE8545-465838,WU-IT-20000,PO-2020-HPC-001,869.0,5328.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-002,gpu002.whpc.westfield.edu,RowA-Rack01-U03,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.11,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2021-09-26,2024-09-25,Active,2.9.2,2000.0,SN-XE8545-621430,WU-IT-20001,PO-2020-HPC-001,897.0,5215.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-003,gpu003.whpc.westfield.edu,RowA-Rack01-U05,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.12,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2021-11-12,2024-11-11,Active,2.8.1,2000.0,SN-XE8545-421879,WU-IT-20002,PO-2020-HPC-001,835.0,5181.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-004,gpu004.whpc.westfield.edu,RowA-Rack01-U07,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.13,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2020-07-30,2023-07-30,Active,2.11.0,2000.0,SN-XE8545-314176,WU-IT-20003,PO-2020-HPC-001,857.0,4813.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-005,gpu005.whpc.westfield.edu,RowA-Rack01-U09,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.14,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2022-02-06,2025-02-05,Active,2.8.0,2000.0,SN-XE8545-600186,WU-IT-20004,PO-2020-HPC-001,819.0,5147.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-006,gpu006.whpc.westfield.edu,RowA-Rack01-U11,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.15,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2021-05-10,2024-05-09,Active,2.11.2,2000.0,SN-XE8545-165725,WU-IT-20005,PO-2020-HPC-001,856.0,4984.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-007,gpu007.whpc.westfield.edu,RowA-Rack01-U13,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.16,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2022-06-14,2025-06-13,Active,2.10.0,2000.0,SN-XE8545-373538,WU-IT-20006,PO-2020-HPC-001,862.0,5224.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-008,gpu008.whpc.westfield.edu,RowA-Rack01-U15,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.17,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2022-05-10,2025-05-09,Active,2.10.1,2000.0,SN-XE8545-765987,WU-IT-20007,PO-2020-HPC-001,852.0,5199.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-009,gpu009.whpc.westfield.edu,RowA-Rack02-U01,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.18,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2022-03-07,2025-03-06,Active,2.9.0,2000.0,SN-XE8545-877089,WU-IT-20008,PO-2020-HPC-001,831.0,5377.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
hpc-gpu-010,gpu010.whpc.westfield.edu,RowA-Rack02-U03,Dell,PowerEdge XE8545,"AMD EPYC 7763 (64C/128T, 2.45GHz)",2.0,128.0,1024.0,NVIDIA A100 80GB SXM4,8.0,640.0,2x 1.92TB NVMe PM9A3,3.84,Mellanox ConnectX-6 HDR 200Gb/s,10.0.100.19,Rocky Linux 8.7,4.18.0-425.19.2.el8_7.x86_64,2021-04-19,2024-04-18,Active,2.11.0,2000.0,SN-XE8545-903591,WU-IT-20009,PO-2020-HPC-001,874.0,4916.0,Cluster Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0
