Month,Month_Num,Fiscal_Quarter,Department,Partition,Job_Size_Category,Jobs_Submitted,Jobs_Completed,Jobs_Failed,Jobs_Cancelled,Jobs_Timeout,Jobs_OOM,Jobs_Preempted,Total_GPU_Hours,Total_CPU_Hours,Total_Memory_GB_Hours,Total_Storage_Read_TB,Total_Storage_Write_TB,Avg_Wait_Minutes,Median_Wait_Minutes,P95_Wait_Minutes,P99_Wait_Minutes,Avg_Runtime_Hours,Median_Runtime_Hours,Avg_GPU_Utilization_PCT,Avg_Memory_Utilization_PCT,Avg_IB_BW_GBps,Total_Energy_kWh,Cost_Allocation_USD,Walltime_Accuracy_PCT,SLA_Met_PCT
Jan,1,Q1,Physics,gpu,129-256_GPU,192,165,10,4,3,3,0,226146.9,561586.1,217330767.0,109067.89,24560.09,24.7,17.3,61.8,99.0,49.0,29.4,86.4,60.5,126.1,1243808.0,644518.58,86.8,89.6
Jan,1,Q1,Physics,interactive,2-GPU,263,227,24,2,0,2,0,10879.5,33188.2,4532950.0,2272.35,431.34,41.4,29.0,103.5,165.7,11.5,6.9,42.9,73.0,137.8,59837.0,31006.53,45.7,96.0
Jan,1,Q1,Physics,large,1-GPU,38,35,1,1,0,0,0,1443.4,3599.4,893338.0,339.5,272.99,20.1,14.0,50.2,80.3,3.0,1.8,50.1,37.9,147.5,7939.0,4113.8,78.6,97.3
Jan,1,Q1,Physics,large,5-8_GPU,164,147,16,5,3,0,0,12573.3,49810.7,4026454.0,5581.29,1596.19,33.5,23.4,83.7,133.9,1.8,1.1,35.2,42.7,39.3,69153.0,35833.94,73.2,97.1
Jan,1,Q1,Physics,priority,5-8_GPU,317,278,7,10,3,6,0,14817.7,57201.8,4238904.0,491.63,270.87,41.8,29.3,104.5,167.2,62.1,37.3,48.0,59.8,93.5,81498.0,42230.54,59.3,89.1
Jan,1,Q1,Physics,preemptible,1-GPU,263,247,11,12,6,1,10,12328.8,46175.3,3177444.0,5882.32,2144.8,95.8,67.1,239.6,383.4,62.7,37.6,49.7,42.5,176.6,67808.0,35137.01,73.9,93.0
Jan,1,Q1,Physics,preemptible,2-GPU,263,240,12,7,6,1,8,6664.6,23471.6,2445448.0,1213.52,1773.51,41.3,28.9,103.2,165.1,48.8,29.3,82.1,47.4,28.2,36656.0,18994.23,63.1,97.3
Jan,1,Q1,Biology,gpu,9-16_GPU,303,259,13,4,8,1,0,8536.8,14518.2,2718126.0,2704.65,1357.04,63.7,44.6,159.3,254.9,26.9,16.1,69.6,51.2,86.8,46952.0,24329.84,82.8,90.6
Jan,1,Q1,Biology,debug,2-GPU,375,356,8,15,5,7,0,21100.7,58767.8,21560594.0,7071.02,2671.69,25.0,17.5,62.4,99.9,17.7,10.6,63.5,37.3,22.4,116054.0,60137.13,71.8,97.7
Jan,1,Q1,Biology,interactive,1-GPU,304,274,23,7,4,4,0,4468.8,14969.9,1051018.0,763.11,742.38,44.3,31.0,110.7,177.2,47.3,28.4,39.4,67.2,147.3,24578.0,12736.07,49.0,96.8
Jan,1,Q1,Biology,priority,17-32_GPU,97,91,7,2,2,0,0,26662.6,102011.9,25400255.0,10137.09,3029.44,32.2,22.6,80.5,128.9,17.0,10.2,83.4,33.0,27.9,146644.0,75988.42,91.1,89.1
Jan,1,Q1,Biology,priority,33-64_GPU,86,73,5,2,0,1,0,79104.1,257730.7,77182943.0,16381.95,21266.04,81.2,56.8,202.9,324.7,22.6,13.6,83.8,34.7,142.8,435072.0,225446.61,68.4,99.0
Jan,1,Q1,Biology,preemptible,1-GPU,188,172,5,6,1,3,12,5057.1,9132.9,5172157.0,688.66,117.48,65.8,46.1,164.5,263.2,10.8,6.5,61.6,30.0,36.2,27814.0,14412.86,72.9,95.1
Jan,1,Q1,Chemistry,interactive,1-GPU,317,274,6,14,2,3,0,4251.7,6423.7,1478873.0,139.86,955.5,6.4,4.5,16.1,25.8,26.4,15.8,42.5,26.5,107.8,23384.0,12117.27,40.7,93.2
Jan,1,Q1,Chemistry,priority,9-16_GPU,297,282,9,13,1,5,0,23639.0,42644.9,11591639.0,1457.65,2117.98,76.3,53.4,190.7,305.2,50.3,30.2,45.9,54.4,171.2,130015.0,67371.19,58.0,95.3
Jan,1,Q1,Chemistry,preemptible,33-64_GPU,144,124,11,2,0,0,11,214490.1,673703.5,181764271.0,37175.91,24891.49,5.8,4.1,14.6,23.3,27.8,16.7,38.6,34.5,59.5,1179695.0,611296.71,61.3,95.4
Jan,1,Q1,Computer Science,interactive,1-GPU,380,358,25,17,10,5,0,17878.5,48331.1,5227152.0,1015.63,2244.57,12.0,8.4,29.9,47.8,55.9,33.5,52.6,33.0,112.0,98332.0,50953.81,77.6,96.4
Jan,1,Q1,Computer Science,large,3-4_GPU,96,94,6,1,2,1,0,5530.7,9441.5,5000395.0,1530.57,149.53,4.3,3.0,10.8,17.2,69.2,41.5,40.3,78.8,158.3,30419.0,15762.51,63.9,91.9
