Category,Subcategory,FY2025_Actual,FY2026_Estimated,FY2027_Proposed,Notes,_Sheet,Item,Qty,Unit_Cost,Extended,Vendor,Quote,Lead_Weeks,Software,Type,Current,Budget,Renewal,Position,Salary,Benefits_30,Total,Month,IT_kWh,Cooling_kWh,Total_kWh,Demand_kW,Blended_Rate,Energy_Cost,Demand_Charge,Distribution,Total_Monthly,Year,FY,HW_Amortization,Power,Cooling,Staffing,Maintenance,Facility_Mods,Training,Contingency,Discount_Factor,Undiscounted_Total,NPV_Total,Budgeted,Actual,Variance,Accrued,Part_Number,Quantity,Extended_Cost,Delivery_Status,PO_Number,Invoice,Seats_Current,Seats_Used,Peak_Concurrent,License_Type,Fiscal_Year,Month_Num,Variance_PCT,GL_Account,Cost_Center,Fund_Code,Approval_Status,NPV_Discount,NPV_Monthly,FA_Rate_Applied,Direct_Cost_Base,Depreciation_Period_Years,Original_Cost,IT_Load_kW,Rate_per_kWh,Hours,kWh
Hardware Capital,Compute Nodes,0.0,850000.0,10560000.0,64x NexaGen X9000,Budget Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffing,Existing Staff (12 FTE),1520000.0,1584000.0,1648400.0,4% annual increase,Budget Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Migration Staff (2 FTE),0.0,0.0,247000.0,12-month temporary,Budget Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Training,25000.0,30000.0,48000.0,Vendor training package,Budget Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jan,,,,,,,,,,,,,,,,,,,,,,,137366.67,142238.43,0.0,15125.76,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Feb,,,,,,,,,,,,,,,,,,,,,,,137366.67,120227.71,0.0,23365.65,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Mar,,,,,,,,,,,,,,,,,,,,,,,137366.67,119760.23,0.0,25026.28,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Apr,,,,,,,,,,,,,,,,,,,,,,,137366.67,145865.91,0.0,14854.13,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,137366.67,120257.83,0.0,27289.81,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jun,,,,,,,,,,,,,,,,,,,,,,,137366.67,132185.37,0.0,18828.05,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Jul,,,,,,,,,,,,,,,,,,,,,,,137366.67,150257.14,0.0,26748.7,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Aug,,,,,,,,,,,,,,,,,,,,,,,137366.67,157394.77,0.0,24085.57,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Sep,,,,,,,,,,,,,,,,,,,,,,,137366.67,132267.32,0.0,14883.69,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Oct,,,,,,,,,,,,,,,,,,,,,,,137366.67,148787.89,0.0,21407.28,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
Staffing,Existing Staff (12 FTE),,,,,Monthly_Actuals,,,,,,,,,,,,,,,,,Nov,,,,,,,,,,,,,,,,,,,,,,,137366.67,134243.86,0.0,26186.95,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,
