Date,OST_ID,Storage_Node,Capacity_TB,Used_TB,Used_PCT,Files_Count_M,Avg_Read_MBps,Avg_Write_MBps,Peak_Read_MBps,Peak_Write_MBps,Read_IOPS,Write_IOPS,Avg_Latency_ms,P99_Latency_ms,Errors_24h
2025-01-01,OST-00,storage-001,100,72.7,72.7,4.5,2798.0,1826.0,4197.0,2556.0,12354,4941,3.48,42.27,2
2025-01-01,OST-07,storage-002,100,111.625,89.3,6.4,3150.0,2375.0,4724.0,3325.0,34417,4195,1.23,19.64,2
2025-01-03,OST-07,storage-002,100,109.375,87.5,2.3,3201.0,2964.0,4802.0,4150.0,12393,10582,4.1,6.81,2
2025-01-03,OST-14,storage-003,100,107.125,85.7,6.2,3349.0,2904.0,5024.0,4066.0,46072,3198,4.08,30.79,2
2025-01-06,OST-04,storage-001,100,73.2,73.2,6.1,3928.0,2399.0,5892.0,3359.0,36614,13158,1.93,14.88,2
2025-01-06,OST-07,storage-002,100,108.5,86.8,2.4,3935.0,2415.0,5902.0,3381.0,38279,29761,1.64,17.19,0
2025-01-07,OST-14,storage-003,100,104.75,83.8,6.5,3502.0,2337.0,5254.0,3271.0,27083,5360,4.23,24.35,2
2025-01-10,OST-07,storage-002,100,108.125,86.5,6.0,3609.0,2892.0,5413.0,4049.0,23938,8970,2.77,11.52,1
2025-01-11,OST-09,storage-002,100,72.1,72.1,6.1,2951.0,2245.0,4426.0,3144.0,37619,18663,4.78,17.6,1
2025-01-11,OST-14,storage-003,100,112.5,90.0,4.6,3447.0,3098.0,5170.0,4337.0,20979,24052,0.92,10.26,2
2025-01-14,OST-07,storage-002,100,105.125,84.1,5.7,2841.0,4085.0,4262.0,5719.0,17914,3037,4.45,11.86,0
2025-01-16,OST-12,storage-003,100,71.2,71.2,4.8,3481.0,2096.0,5222.0,2934.0,24273,8632,3.07,36.83,2
2025-01-17,OST-14,storage-003,100,105.625,84.5,7.4,3272.0,3105.0,4909.0,4347.0,47793,15580,1.03,23.73,1
2025-01-18,OST-07,storage-002,100,105.125,84.1,2.6,4493.0,2839.0,6740.0,3975.0,30140,20411,2.65,20.26,2
2025-01-21,OST-07,storage-002,100,109.625,87.7,3.1,4470.0,2826.0,6705.0,3957.0,43900,20759,2.37,44.15,1
2025-01-21,OST-14,storage-003,100,112.125,89.7,4.8,3850.0,2512.0,5775.0,3517.0,44133,22902,3.31,13.14,0
2025-01-21,OST-18,storage-004,100,65.2,65.2,4.0,2416.0,2352.0,3623.0,3293.0,41944,20744,0.94,15.34,1
2025-01-22,OST-14,storage-003,100,108.125,86.5,3.0,3929.0,3465.0,5894.0,4851.0,49260,11927,1.62,17.5,2
2025-01-23,OST-07,storage-002,100,111.875,89.5,4.8,2735.0,997.0,4103.0,1396.0,6231,14074,2.16,48.72,0
2025-01-23,OST-14,storage-003,100,108.125,86.5,4.5,3628.0,2104.0,5442.0,2945.0,41624,29552,2.11,31.76,0
2025-01-26,OST-23,storage-004,100,73.0,73.0,5.0,2849.0,2428.0,4273.0,3400.0,26778,7452,0.99,27.01,0
2025-01-27,OST-07,storage-002,100,107.625,86.1,2.5,4075.0,2738.0,6112.0,3834.0,31875,27207,4.11,28.47,0
2025-01-27,OST-14,storage-003,100,106.125,84.9,2.6,3543.0,2172.0,5314.0,3040.0,25923,20351,1.63,39.8,1
2025-01-28,OST-07,storage-002,100,109.375,87.5,4.2,2331.0,2552.0,3497.0,3573.0,10441,28978,1.36,35.5,1
2025-01-29,OST-07,storage-002,100,108.25,86.6,3.5,4024.0,2407.0,6036.0,3370.0,28238,26283,4.62,18.92,0
2025-01-31,OST-07,storage-002,100,111.0,88.8,7.1,3299.0,1781.0,4949.0,2493.0,25672,16515,1.65,12.17,1
2025-01-31,OST-14,storage-003,100,109.0,87.2,3.7,3039.0,2513.0,4558.0,3518.0,31447,4944,3.14,49.67,1
2025-02-01,OST-06,storage-002,100,73.9,73.9,3.4,2861.0,1762.0,4291.0,2466.0,16366,15023,3.4,23.18,2
2025-02-01,OST-07,storage-002,100,113.5,90.8,6.9,3122.0,3476.0,4682.0,4866.0,25837,24204,3.02,32.87,2
