Date,Switch,Port,TX_Bytes,RX_Bytes,TX_Packets,RX_Packets,TX_Errors,RX_Errors,Link_Downed,Symbol_Errors,Port_Utilization_PCT
2025-01-01,Spine-1,1,352494426,409683871,86058,100020,0,2,0,3,25.1
2025-01-01,Spine-1,10,492179069,61474915,120160,15008,2,2,0,3,80.0
2025-01-01,Spine-1,20,456773406,774670169,111516,189128,1,2,0,4,66.9
2025-01-01,Spine-1,29,238451134,463409833,58215,113137,1,2,0,0,77.8
2025-01-01,Spine-2,7,93122969,748321734,22735,182695,0,0,0,1,73.0
2025-01-01,Spine-2,16,963019906,297806944,235112,72706,1,1,0,2,79.7
2025-01-01,Spine-2,26,606968563,314106185,148185,76686,0,2,0,9,53.1
2025-01-01,Leaf-1,3,157009152,717754478,38332,175233,0,0,0,4,53.1
2025-01-01,Leaf-1,13,500247650,973645783,122130,237706,2,4,0,3,56.9
2025-01-01,Leaf-1,22,960227529,386583569,234430,94380,0,0,0,8,53.8
2025-01-01,Leaf-1,32,860987088,469345625,210201,114586,1,3,0,3,77.7
2025-01-01,Leaf-2,8,908835109,542761211,221883,132510,2,0,0,14,55.8
2025-01-01,Leaf-2,17,787456022,798669120,192250,194987,1,2,0,18,64.6
2025-01-01,Leaf-2,27,214771465,843355958,52434,205897,4,0,0,16,43.1
2025-01-01,Leaf-3,2,417098003,198560673,101830,48476,4,4,0,15,46.9
2025-01-01,Leaf-3,12,954552714,950863297,233045,232144,2,2,0,5,71.6
2025-01-01,Leaf-3,21,390308873,408352430,95290,99695,3,4,0,16,92.5
2025-01-01,Leaf-3,31,609171713,93763485,148723,22891,1,0,0,2,91.6
2025-01-01,Leaf-4,6,212760436,451430901,51943,110212,1,4,0,14,45.1
2025-01-01,Leaf-4,16,26409944,927318735,6447,226396,4,4,0,9,35.4
2025-01-01,Leaf-4,26,397487895,948682809,97042,231612,0,2,0,1,63.3
2025-01-02,Spine-1,1,544558259,428816474,132948,104691,2,2,0,1,74.3
2025-01-02,Spine-1,11,493438247,318848360,120468,77843,0,2,0,3,73.4
2025-01-02,Spine-1,20,85688187,167869538,20919,40983,0,0,0,6,56.2
2025-01-02,Spine-1,30,663311187,698814155,161941,170608,0,1,0,0,66.9
2025-01-02,Spine-2,7,930838856,686009584,227255,167482,1,1,0,1,47.0
2025-01-02,Spine-2,17,935438964,795379831,228378,194184,1,0,0,1,43.1
2025-01-02,Spine-2,26,708225014,724237827,172906,176815,1,2,0,1,25.7
2025-01-03,Spine-1,4,635826247,400898105,155231,97875,2,1,0,9,77.7
2025-01-03,Spine-1,14,352189751,143453577,85983,35022,1,1,0,6,36.9
2025-01-03,Spine-1,23,681768102,475962942,166447,116201,0,2,0,1,43.1
2025-01-03,Spine-2,1,302265090,12987228,73795,3170,1,0,0,0,51.1
2025-01-03,Spine-2,10,949238327,538276875,231747,131415,0,0,0,8,73.0
2025-01-03,Spine-2,20,816734364,472271407,199398,115300,2,1,0,4,70.5
2025-01-03,Spine-2,29,518496607,771797849,126586,188427,0,0,0,3,24.9
2025-01-04,Spine-1,7,480079102,691424314,117206,168804,1,0,0,0,70.2
2025-01-04,Spine-1,16,992484169,23542077,242305,5747,0,1,0,1,60.7
2025-01-04,Spine-1,26,351580063,369091038,85834,90110,0,2,0,6,32.5
2025-01-04,Spine-2,3,678794534,81675866,165721,19940,1,0,0,8,22.9
2025-01-04,Spine-2,13,74458448,343148954,18178,83776,2,1,0,7,38.1
2025-01-04,Spine-2,23,339794727,850938128,82957,207748,0,2,0,6,58.0
2025-01-04,Spine-2,32,403463935,768290492,98501,187570,0,2,0,0,20.8
2025-01-05,Spine-1,10,158828396,854366004,38776,208585,0,1,0,5,72.4
2025-01-05,Spine-1,19,276614874,40001570,67532,9766,2,1,0,1,72.8
