Config_Type,Name,Parameter,Value,Description,Last_Modified,Modified_By,Effective_Date,Change_Ticket
Global,slurm.conf,ClusterName,whpc,Primary cluster name,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,PriorityType,priority/multifactor,Priority calculation,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,PriorityWeightFairshare,10000,FairShare factor weight,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,FairShareDampeningFactor,2,Dampening factor,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,PreemptExemptTime,00:05:00,Grace period before preemption,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,AccountingStoragePort,6819,SlurmDBD port,2025-06-15,root,2025-06-15,CHG-2025-1234
Global,slurm.conf,SlurmdTimeout,300,Daemon timeout (s),2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,gpu,MaxNodes,96,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,cpu,Description,CPU-only partition,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,cpu,State,UP,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,debug,OverSubscribe,EXCLUSIVE,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,interactive,Features,gpu_a100,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,large,MaxTRES,"cpu=256,gres/gpu=64",,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,priority,Default,NO,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,priority,PriorityTier,1,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,maintenance,GraceTime,0,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,burst,QOS,burst,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,preemptible,PreemptMode,requeue,,2025-06-15,root,2025-06-15,CHG-2025-1234
Partition,reserved,MaxTime,UNLIMITED,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,normal,Priority,100,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,high,GrpTRES,"cpu=768,gres/gpu=128",,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,low,Preempt,off,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,debug,GrpJobs,500,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,interactive,MaxJobsPerUser,100,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,large,MaxWall,72:00:00,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,burst,MaxTRESPerUser,"cpu=0,gres/gpu=0",,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,preemptible,UsageFactor,1.0,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,maintenance,MaxJobsPerUser,100,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,biology_special,Priority,170,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,emergency,GrpTRES,"cpu=768,gres/gpu=768",,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,benchmark,Preempt,off,,2025-06-15,root,2025-06-15,CHG-2025-1234
QOS,training,GrpJobs,500,,2025-06-15,root,2025-06-15,CHG-2025-1234
Account,Physics,FairShare,1000,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Biology,FairShare,600,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Biology,MaxTRES,"cpu=384,gres/gpu=128",,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Chemistry,FairShare,450,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Chemistry,GrpTRESRunMins,"cpu=2000000,gres/gpu=500000",,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,CS,FairShare,800,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,CS,MaxSubmitJobs,500,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,EarthSci,FairShare,350,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,EarthSci,MaxWallDurationPerJob,168:00:00,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Math,FairShare,250,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Math,AllowedQOS,"normal,high,low,debug,interactive",,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,Engineering,FairShare,700,,2025-01-15,admin,2025-01-15,CHG-2025-0456
Account,MedRes,FairShare,550,,2025-01-15,admin,2025-01-15,CHG-2025-0456
